tx_hash,latency(ms)
6adQ478kJqctx4po3vLJseKsrgawsv24n3zcVA6Hdqgh,460
6jj8zasXB3PX1KUDemLYTVzp6s866cbR16qQHd1MYJpz,463
x785TJmjEjz6528aPyuAVNRUqDr2cju7FpscwqGKaSj,467
4LkTLpRfTCxEw9xftSyHkLxndS5QkgHw1Ym4nRuksTD4,468
5uGDqka2xENzR6rfexdJiQSvjjHge6YVetwF5EaEiysm,474
EAzNkk5s1bMLbG8RDJNQCNMHkFamx93B1LGjMPYpNECp,474
DiyvcKUkpmxndJEQnS634bUiLaveZ1AFPYd6VwDtyKW9,487
5pEKKaTUvpcbVmdSh15yKydkXbqhoR8NUYSikQTyzs24,489
9hA7c17k1VrMvVEiGEja4cm5YLxxvsyVgwzWLgAaZqq5,489
9HEpFDWyJLHNkLYmZ9tR1sxE7rFNkLZbF9i7Q9NwSTua,490
4JaKEHdfsmqzVZHJgHJxZwaMR7Rj3pt5K63R4T5w3eui,490
7o7WDFHDCC23tkKCeQLtqV3nnph4KnSLPDkKVy6tY3Wx,490
JCMuQ2PYHqaRtTHiWNUXqsS1uQPHUu89ZoSsKQ6Sg4cC,491
7NHmy8ykM3E56k3J1PrMi89399eaxWrRxKDwp8dEFqZs,493
5f3TR6HDRRDUHf1Drf3yG4pWEv42YkLz14bWEkNhWTig,494
6mrjaJZdySVTsUX86624aYHeQJaJo8CfRzy9bwdfNf1M,497
9BfbXwK4xpd9UqEuB3DjzhmyiMxwkEn52N3W1CoGsyjP,497
6eSNwRRtCeiWPQ76tp7KoYZDc5NP84wq428GXXouri9v,527
kNugfHTzLUC6y8nS7hu5ZehKVDQUS617i1rRkWB7ofT,528
28F7BhU7CaRVAoK9Hukkdbn3e2ToFZnwn4tMpKJFMUbT,528
52hXJsHzuweE3C1GieS8fP3Ftxgqo3hRkcvioSooLdj7,528
8ttuxt853sugebFbhK55LWER3dQuJHfphdUcXL7QpDTU,529
DSzwRZXX45AiS1a6JzfeeVASXeHV5cudA95SJUi7DVsh,530
AnraGmF3fqvy4aDe6nrSoxHG7U69Gz64bi8geRr3z5oj,529
DZxKRK4e6WuTPRPPd5NurUzKc1FxUjcefthK7nL2BJPg,530
J12KePqmYithe4iNGAfXzmFTAiKkPbAWdvpQpf9HBMev,530
BgzmeBQAhnUHSieBvx4556gU22mxoapeFEdjndFfMbNn,530
sTSbL1HCxMVW4HcxC8DMPavCnxHLELdchnZTug62tCe,530
AFyKa6hvue3VmEEAcXKiEvfWHMe2BMpLKmoBjEDm9hLo,530
4nY5sbS7d382Ay37dKdXxaU14Do7EqSeuWJdqZGCrCqE,536
4WgSXhwQqhMpWBAw4AJ4vVuqhDvE2GNdSFZLqLkV5UkP,536
GgdFEBaDvjEHaY1oJTvhJfAbNPyxBfhGjDfATKvJdBbp,538
CKJKd6P5rEShciSt2gfd6kWjSp6nkpzqjb8rWVxMu4HU,538
Dnrsu82YMdDtB4QXVE7PwpT6wqBK54SSoT2UXMLGB7nD,539
9PE2xYp9kFUkZRfGxZpVxmEnWoDSwYjbpeWLbWB6zpjW,539
BNxaSThDDB4dqjg72uKF4TG4xoX8AU5vTLB3JdyLiLYc,540
GSjxhhtYxaCyqcnUbfTNL1zZVVX3SEdFvwf1iPSzNhKQ,543
FaqPfH6TXXwX9aYT3nWWa4te3XfkoU35kXQ7ZMw1yEh1,543
HtPBKbDuAD88RczuciMgBsGS8PNaThwBrnj8zovUrgah,539
GThzKmFrwhTas77gR2LDa1L4qjaTZg9TreUJhjqhRWyh,533
6zwQ9rBvBF7MdrmkGzfNuEuGgmGBzqLizxbhdCwb9SzV,557
2Kid6kChQRgzmVmrw3rYphB4qYtQutepguZjHTrdAR9k,557
BoAgcgsp1z1Uk3f6CDNaM3KF79aCYJxRJZgysKTpfe9X,557
8B47rBP8b5DmpeYPXa8GxrjcWD9TQZTG5aqGMUTm9g31,558
8DffuiNPauKoFr1M3DXb6QuVuuRXzh4wkWG9vNAPAzCK,544
5Cd7Ach5h9uWpc7w52SRbRbhiTPkYXJ3hi2EpwRVeRN8,559
CN3bxvwssvYpByFxfvk7TLygsE2dQrpaAudgPe5Ehd7S,559
38iJc7HnDZsapB4kYyMHgMT9oDugdCWPfareEx48DuMb,559
3Atda3ozSbZcifxGwcYt9ikQ9XmoQ7378LB8tWTjgccd,560
CziXRohxKLEj6uDU88rzpiCx32G7FQcbYqLbCQhRf7KT,555
9CAnFtbxn8Z86SGYudvEsdE7Ujew7TmTtBU3GWMv55zE,564
8PGwoyraWUGBrznjjUDEdkSUwZS8MjMx8e1sqSRLdt2P,578
FjXX2ZYcPrkpdtDazRbJkdJNoyZiFxWSF6wi4KHGetuw,586
GSrEtr9TjfHACieVjcZhMwoHN7cVu1Yy3Hg3q8xxo2HW,588
22aCeSoojf3a2UBUB5KugYSQD4NidaXfRmvyrEFkNKtb,1190
9T5hMKPkZtsAiCAuMdnBeKZEooWwU2rnXt8LkuPktUuE,1299
8MuRQpDGCVn89cpcNaZ5ERqwBvyB19x7mBVAVKr7f6bb,1212
CGkcoDTXJS55dhmWEtYSfLRuNy64bXMDfpyaDW1jC4wT,1213
CDT9GFa5z9fpc379Ga4oy389Di3NNncMTyBiV5cDqp1K,1321
DbKVKrE2y2PkPWDcoQUVU6HQVmrR5ijKYpYDQtHtPgBN,1220
7Q4mzrNngy5H5we4yTMzXVaQ75Vsx2qydCoAYcusp2HV,1220
