tx_hash,pool_id,amount_x_in,amount_y_in,amount_x_out,amount_y_out,reserve_x,reserve_y,slippage
ENoV9XaRacZqKKXdjUWSLqguaVUbTyhBWobbhUvRrRCw,0x29ddae2ef2feafd15f8faab08518c976d1c0bce11d246caabae01d5b4e6712ed,2660,0,0,5303,50004278,99991490,0.000002651517
BRbcFsK7Lcf28pCyX6h4sNTG2T8caB3Dp7UEFnFd2XM3,0x29ddae2ef2feafd15f8faab08518c976d1c0bce11d246caabae01d5b4e6712ed,3060,0,0,6101,50001618,99996793,0.0000030504825
4vWLbJGM8jJdJm7zgKBqMritA847SLPqFmDieeh9KaEW,0x7acda0fdb382246b88fb78dd5a370749354f5467ae50353ae8db82bdefef5491,0,4051,2019,0,49999879,100000267,0.0000020189846
AiRy3LGwXJ6FwXMws4y57DXQ8cV5N4p4jqWGsuooXFGn,0x7acda0fdb382246b88fb78dd5a370749354f5467ae50353ae8db82bdefef5491,3311,0,0,6601,50007135,99985800,0.0000033005501
EnXNsVevaszHGTd84JxKjKkjMNakga3jaxbRTpt2u91s,0x7acda0fdb382246b88fb78dd5a370749354f5467ae50353ae8db82bdefef5491,0,2577,1284,0,50005851,99988377,0.0000012839633
5s89cYH53PJRoigjCSTnbZEACmrrgxs2ysXGyoQPsc4J,0x94eddd2821b97ef95ccb194947f355d561b4a67337829b05db7261e683fd8479,4891,0,0,9752,50005260,99989551,0.0000048760066
BxBSYKaz4rX56YuzKm9cwmRNeMW3nSU8EurSL1zAQz9Z,0x29ddae2ef2feafd15f8faab08518c976d1c0bce11d246caabae01d5b4e6712ed,0,4822,2403,0,50003205,99993683,0.0000024029462
BchoLNv9fCasyVw2xGAYLS7YpVZ3fDZgRFhZP2Z6dwEM,0x94eddd2821b97ef95ccb194947f355d561b4a67337829b05db7261e683fd8479,3816,0,0,7608,50013642,99972884,0.0000038041485
HjTSEBNerKifgNvZuM9F4KPNuctsog2MQGt5dhFMEy17,0x29ddae2ef2feafd15f8faab08518c976d1c0bce11d246caabae01d5b4e6712ed,0,3390,1689,0,50002589,99994880,0.0000016889711
6j4gaGEGU6GCirFhP2gFKACKSScY74a1vv5DKAbMfs1S,0x94eddd2821b97ef95ccb194947f355d561b4a67337829b05db7261e683fd8479,0,3526,1757,0,50011346,99977511,0.0000017569079
v8TVmmdP1HJwDzz42oFM7f2WUPA6oDobaMGyYGpnxu8,0x7acda0fdb382246b88fb78dd5a370749354f5467ae50353ae8db82bdefef5491,1898,0,0,3784,50001898,99996216,0.000001892
FcaVjjs4rExaNAp6T7QsR5ULyeQVUd5SwoUm9W5watZB,0x8371f58943afc4c8d91c2287f15ec075a565a400f2fe46e5e8af9dadbcb54fea,1961,0,0,3909,50011774,99976636,0.000001954576
83wMENY4QkdYSWp76RCVvVwfF6jMPjTmQHgwbPNoLnJD,0x7acda0fdb382246b88fb78dd5a370749354f5467ae50353ae8db82bdefef5491,3467,0,0,6912,50012299,99975522,0.0000034561215
6Rb2VNxQ3szpUuPLjB8YDwWnfG8PzSGxe8eVBt1oWrVE,0x94eddd2821b97ef95ccb194947f355d561b4a67337829b05db7261e683fd8479,0,2957,1474,0,50003786,99992508,0.000001473969
