tx_hash,pool_id,amount_x_in,amount_y_in,amount_x_out,amount_y_out,reserve_x,reserve_y,slippage
gg5DWcDLPYeTwaT5CrbC918qcJgJGTuEYPeGJPoWYtX,0x0000000000000000000000000000000000000000000000000000000000000000,1325,0,0,2641,1000074038,1999853947,0.0000013205964
HEDX3suyVQsm5PtJLmh7wNBrPDnt9ccWmSKRWK6sLL5F,0x0000000000000000000000000000000000000000000000000000000000000000,0,4883,2434,0,1000079810,1999842507,0.0000024338058
4K9dam8QLtQAg2YyHYCd3aunYVVw9g5ozbW3vg5NFZUv,0x0000000000000000000000000000000000000000000000000000000000000000,0,4622,2304,0,1000082244,1999837624,0.0000023038106
H7sVXkqABE8V5vHVhxuTTFyMarVVKLYeNkLepmLE88BF,0x0000000000000000000000000000000000000000000000000000000000000000,4552,0,0,9075,1000080269,1999841532,0.0000045378597
HDxC2wQWo2gdeaR1VDLS7mdYHYgipcAWBbRCCiEm7dHw,0x0000000000000000000000000000000000000000000000000000000000000000,0,1004,500,0,1000075717,1999850607,0.00000049996214
9vLTatXprsFgv9DqsArtMBQ6eDkxRiXPCV7oaZYHssG3,0x0000000000000000000000000000000000000000000000000000000000000000,0,1320,658,0,1000079152,1999843827,0.0000006579479
H83VhqLMqqMFqZaLRtHpwSc7zxyi8Cb5xcx6cVcx3FcQ,0x0000000000000000000000000000000000000000000000000000000000000000,4279,0,0,8530,1000084548,1999833002,0.0000042653564
5tTuiXBQFqvSb2rjDZT6DbLvdj5tBRAdF22tn373Mh49,0x0000000000000000000000000000000000000000000000000000000000000000,2179,0,0,4344,1000076217,1999849603,0.0000021721632
5e4p4rwhg67eGiYGSa799ZakdaUpP97tLeqL9bAQK7HN,0x0000000000000000000000000000000000000000000000000000000000000000,2307,0,0,4599,1000093193,1999816067,0.0000022997115
BSnW94ms4kSirzda5vtqomCMhUczYxYaJxCQiiz84Wx4,0x0000000000000000000000000000000000000000000000000000000000000000,3418,0,0,6814,1000101229,1999800061,0.0000034073407
25HWjYM6Xo3aUhd26Cm8ppZDK6AXg5idzpNAtZP8abPb,0x0000000000000000000000000000000000000000000000000000000000000000,2450,0,0,4884,1000097184,1999808111,0.0000024422343
8vrgHUFfPLW9LvwkJw5635X72ZCyBGWGiKsR8E4iSfF4,0x0000000000000000000000000000000000000000000000000000000000000000,1585,0,0,3159,1000098769,1999804952,0.000001579654
EPv2MfM5LG1cYBCNhM4veLU8zAE22Jn3GSk42aPFLrg5,0x0000000000000000000000000000000000000000000000000000000000000000,0,1717,856,0,1000099350,1999803831,0.000000855915
2NWu3TatebX5twJjfpQaTBEGMCKmeNMVvWewW6qJTCJs,0x0000000000000000000000000000000000000000000000000000000000000000,1849,0,0,3685,1000130035,1999743079,0.0000018427367
7J3p8g55c8XjWicpyBEosE6otvA78CU9d553d7vQAHrz,0x0000000000000000000000000000000000000000000000000000000000000000,1173,0,0,2338,1000131208,1999740741,0.0000011691516
HrBUkqsATvyu2P8jftfoTxBXeGUdJPUmvA7ur3rn6Hov,0x0000000000000000000000000000000000000000000000000000000000000000,3220,0,0,6418,1000134428,1999734323,0.0000032094265
F3jDPS9RvYNeT5VziYqNoY72oz4jkAxs4UdUXynLx73f,0x0000000000000000000000000000000000000000000000000000000000000000,0,2730,1361,0,1000133067,1999737053,0.0000013608189
22pwrHKet26KafbqgKcvMGCvTwCW6k3GhPnz73BeYUhV,0x0000000000000000000000000000000000000000000000000000000000000000,3264,0,0,6506,1000141556,1999720132,0.0000032534551
5qc18xFwFxaCoQ3SrvixcddGcueGYgvfVLa6ZsL5NrkU,0x0000000000000000000000000000000000000000000000000000000000000000,2223,0,0,4431,1000135290,1999732622,0.0000022157963
DfgK1r9T8TDMcGE2PNj1VtxrURqYPjMmRQjK8YN4RhF7,0x0000000000000000000000000000000000000000000000000000000000000000,2221,0,0,4427,1000143777,1999715705,0.0000022138147
FxjKVynCeWg6CekE5ZzaXdaFyxRH9LSva4ovKkzwUvjg,0x0000000000000000000000000000000000000000000000000000000000000000,3002,0,0,5984,1000138292,1999726638,0.000002992409
DcQ3trvdDs5cCLqfxcfFX65W7ag27VcJG3he8ucp8y7E,0x0000000000000000000000000000000000000000000000000000000000000000,0,4530,2258,0,1000141519,1999720235,0.0000022576805
Rgzf5n2iy7N3bVRaiaECd9hDwiKUxXPLLZ1GURgjzU5,0x0000000000000000000000000000000000000000000000000000000000000000,0,4389,2188,0,1000147451,1999708439,0.0000021876774
71B4jXbtmgiPUuvCCAHRX1hMUtW7XszquCauZaLtpMxB,0x0000000000000000000000000000000000000000000000000000000000000000,4296,0,0,8563,1000145815,1999711672,0.0000042821175
F6fkCQmddhRfSbVcEXsTHC1pETy5tLyjYUvLSf1dKVwD,0x0000000000000000000000000000000000000000000000000000000000000000,3824,0,0,7622,1000149639,1999704050,0.000003811564
45PFew9BR1QhoCUd3BpYDoWYMm5YGJZrdAGpfYeJZGqZ,0x0000000000000000000000000000000000000000000000000000000000000000,0,2845,1418,0,999990050,2000019998,0.0000014180141
4VfUa5FSoAw5b56Jw3YCVKY8JuMrx9navnLcj4f4m9G5,0x0000000000000000000000000000000000000000000000000000000000000000,0,2295,1144,0,999985322,2000029486,0.0000011440168
HmxJhTWo6pQrx5EfeZtuuE7Fu3qKCGvu4ezbCaNbiUfD,0x0000000000000000000000000000000000000000000000000000000000000000,2507,0,0,4999,999990329,2000019502,0.0000024994756
2qotBJYSyoyoSWEYab8RQx7cipDZ5fBUT2rUj9RtAuHr,0x0000000000000000000000000000000000000000000000000000000000000000,0,2920,1455,0,999990921,2000018220,0.0000014550133
Eh4V7YpfJPzHsAEZYvWpsS8EeKysmtCWURgZSSHjSsPB,0x0000000000000000000000000000000000000000000000000000000000000000,1331,0,0,2654,999986653,2000026832,0.0000013269822
Eibcw4RoixJMzgJMPtqMJZ4DkNZX7RgFG7vhkwa9PUW7,0x0000000000000000000000000000000000000000000000000000000000000000,0,2460,1226,0,999992376,2000015300,0.0000012260093
