tx_hash,pool_id,amount_x_in,amount_y_in,amount_x_out,amount_y_out,reserve_x,reserve_y,slippage
H4j3CcxSSPJQTXtRUDwVQuiA7kTwxYu8bqbk462wFBfu,0x0000000000000000000000000000000000000000000000000000000000000000,205,0,0,408,1000006594,1999986870,0.00000020400134
CNuGyEHwWWhfAoVkzD3tbv5H7wGuJWEwCZTeAnoh3kfP,0x0000000000000000000000000000000000000000000000000000000000000000,988,0,0,1970,1000009298,1999981480,0.0000009850091
m5z3mdFEX1kackSYcLaWNYT7tkE7nHRMhHhGyezvwSX,0x0000000000000000000000000000000000000000000000000000000000000000,982,0,0,1958,1000002734,1999994562,0.0000009790026
bqgJT9px6RSxufqZVyAbQGcCgUABxVAPy9YvV7b2KwB,0x0000000000000000000000000000000000000000000000000000000000000000,856,0,0,1706,1000009800,1999980485,0.0000008530083
4PMGwHfha1fgVX8EhMw4WmKR1J4eEc4YdmM24quzfWER,0x0000000000000000000000000000000000000000000000000000000000000000,873,0,0,1740,1000008310,1999983450,0.00000087000717
C4GL7txDUpoABLUdeJe5Kh9qzeNb8Q4M1zaMWNzwm2fq,0x0000000000000000000000000000000000000000000000000000000000000000,843,0,0,1680,1000007437,1999985190,0.00000084000624
EadrxALz2bMe8TumtsTHCLhAP1427ZnfkLWCSAzbZbEZ,0x0000000000000000000000000000000000000000000000000000000000000000,815,0,0,1625,1000004945,1999990154,0.000000812504
5Y1Y9hJVVWLjLFtS3NgJA3GW7zsWEtwEetvoQWTHVenE,0x0000000000000000000000000000000000000000000000000000000000000000,0,246,122,0,1000004823,1999990400,0.00000012199942
85Xx2SDjsji8Q1SWjdMg9L9Tx82AfuiQWjZDyqF7ZvEr,0x0000000000000000000000000000000000000000000000000000000000000000,603,0,0,1202,1000005426,1999989198,0.00000060100325
3vizvYkd6edXFgHh7Zp5wP8j3wviMgQ11unoG6QkRQqJ,0x0000000000000000000000000000000000000000000000000000000000000000,882,0,0,1758,1000011953,1999976201,0.0000008790105
A3Sp8egBiqWuiqbCjexwzxZUhCXNfxC8LRnABMCJMowU,0x0000000000000000000000000000000000000000000000000000000000000000,478,0,0,953,1000003212,1999993609,0.00000047650153
7Ds1XJiT9E4YLog7BkqqAGpFiKHzdZikp3XHJuvVrWm3,0x0000000000000000000000000000000000000000000000000000000000000000,373,0,0,743,1000012745,1999974631,0.0000003715047
DXE8AXDvRHoWvKGJhTcxRdfRk2LxvDJGXYWTHKS7cS9w,0x0000000000000000000000000000000000000000000000000000000000000000,0,711,354,0,1000008944,1999982191,0.00000035399682
8aG4nvC229j18JZHKNJcq4K2iyuUs77RPoJUBT12HHsY,0x0000000000000000000000000000000000000000000000000000000000000000,918,0,0,1830,1000004130,1999991779,0.00000091500374
7kZwUinskECd6Hcik5ptM8V6bFhxdg9Qsfd2yqh17zup,0x0000000000000000000000000000000000000000000000000000000000000000,0,948,472,0,1000038314,1999924017,0.0000004719819
F5LGNwEFPSjoMypLPJScssgg2A7qYbqbLDmaBWMsiho2,0x0000000000000000000000000000000000000000000000000000000000000000,0,935,466,0,1000037848,1999924952,0.00000046598237
